hour,success,status,nit,cut_MW,max_residual
2030-01-24 14:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,183.2538039015026,0.0
2030-01-24 15:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,201.61530054416124,0.0
2030-01-24 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,185.7982233508357,0.0
2030-01-24 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,177.5113977568647,0.0
2030-01-24 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,167.31561927411389,0.0
2030-01-24 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,157.06966315011374,0.0
2030-01-24 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,137.3769885198567,0.0
2030-01-24 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,94.78363765770722,0.0
2030-01-24 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,140.27760923360788,0.0
2030-01-24 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,104.10202801030972,0.0
2030-01-25 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,54.32711818420073,3.552713678800501e-15
2030-01-25 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,175.86410374517908,0.0
2030-01-25 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,145.6032252446633,0.0
2030-01-25 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,111.06527542134071,0.0
2030-01-25 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,78.32784257736861,0.0
2030-01-25 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,18.202568596815773,0.0
2030-01-26 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,19.74346766126814,0.0
2030-01-26 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,67.22227458701188,0.0
2030-01-26 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,164.10316186179372,1.4210854715202004e-14
2030-01-26 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,179.7094567944804,0.0
2030-01-26 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,163.2678114081752,0.0
2030-02-01 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,58.08468262667109,0.0
2030-02-01 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,8.146477474330457,0.0
2030-02-01 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,63.708658284534124,0.0
2030-02-01 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,32.693844642752616,0.0
2030-02-01 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,30.216313715603953,0.0
2030-02-01 13:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,22.17691504425222,0.0
2030-02-03 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,42.93317441202279,0.0
2030-02-03 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,206.82777602239838,0.0
2030-02-04 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,250.8176566701748,0.0
2030-02-04 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,248.54675798182367,0.0
2030-02-04 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,210.0098123255909,0.0
2030-02-04 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,215.09142421797014,7.105427357601002e-15
2030-02-04 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,57.950436000809916,0.0
2030-02-04 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,9.30672842581492,0.0
2030-02-04 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,12.290516914154086,0.0
2030-02-04 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,34.1831301456938,0.0
2030-02-04 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,47.97332072745928,0.0
2030-02-04 14:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,90.56841615004011,0.0
2030-02-04 15:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,73.18911156713106,0.0
2030-02-04 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,151.58877180900768,0.0
2030-02-04 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,110.38892434643103,3.552713678800501e-15
2030-02-04 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,183.16020562774446,0.0
2030-02-04 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,100.55054501815087,3.552713678800501e-15
2030-02-04 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,127.03703452051359,0.0
2030-02-13 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,167.25265163623445,0.0
2030-02-13 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,112.41819984230139,0.0
2030-02-13 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,63.18260639841358,0.0
2030-02-14 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,4.916227099196603,0.0
2030-02-17 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,125.57528134022652,0.0
2030-02-17 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,163.91348630834443,0.0
2030-02-17 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,166.5013336326301,7.105427357601002e-15
2030-02-17 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,129.3527916213087,0.0
2030-02-17 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,196.67697729784362,0.0
2030-02-17 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,184.12170388979408,7.105427357601002e-15
2030-02-17 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,191.74144955454508,0.0
2030-02-18 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,167.2165124456902,0.0
2030-02-18 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,173.62868830453274,0.0
2030-02-18 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,178.00117516306005,0.0
2030-02-18 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,178.78206285259088,7.105427357601002e-15
2030-02-18 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,150.16202620967798,0.0
2030-02-18 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,214.28669729810812,0.0
2030-02-18 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,209.89414424359202,0.0
2030-02-18 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,192.3721966354187,0.0
2030-02-18 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,167.0677976179285,0.0
2030-02-18 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,179.71118034069954,0.0
2030-02-18 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,191.91770500340496,0.0
2030-02-18 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,139.62272685925748,0.0
2030-02-18 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,132.46598659514325,0.0
2030-02-18 13:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,139.47400224575546,7.105427357601002e-15
2030-02-18 14:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,174.49029569106492,0.0
2030-02-18 15:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,147.39657823101194,0.0
2030-02-18 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,123.44928679887076,0.0
2030-02-18 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,80.8694230459638,0.0
2030-02-18 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,158.74476275608902,0.0
2030-02-18 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,159.91059288751396,0.0
2030-02-18 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,155.43812140654563,1.4210854715202004e-14
2030-02-18 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,165.94236245879043,0.0
2030-02-18 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,124.01058107954007,7.105427357601002e-15
2030-02-18 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,139.65331911196262,0.0
2030-02-19 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,99.4764684345682,0.0
2030-02-19 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,78.70448771312242,0.0
2030-02-19 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,90.77979233435225,0.0
2030-02-19 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,75.58354615462892,0.0
2030-02-19 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,67.83661604992234,0.0
2030-02-19 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,94.12373767977122,3.552713678800501e-15
2030-02-19 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,100.50319785591114,3.552713678800501e-15
