station,rule,cut_MWh,avail_MWh,n_farms,r_s
Ardnagappary,band5,5748.693111979026,62580.924698400006,3,0.09186014971309624
Binbane,band5,12660.223709064205,232467.07272,15,0.05446028790629237
Cathaleen's Fall,band5,21802.103399972122,159233.1576,2,0.13691936860750992
Corderry,band5,6232.099885162487,166738.26998430002,7,0.03737654160469158
Cunghill,band5,12925.005511055726,93919.32576,2,0.13761816757590536
Garvagh,band5,5037.262472590977,219480.50628,3,0.02295084223181416
Glenree,band5,1116.7435734893468,211565.36305600003,4,0.005278480169713564
Lenalea,band5,10036.4018127534,85450.34757,1,0.11745302503926842
Meentycat,band5,32319.758254441527,235244.0346048,3,0.1373882160656586
Moy,band5,43.81023434261641,16647.58668,1,0.002631626744749072
Mulreavy,band5,36795.08051941016,267677.476455,4,0.1374605028660149
Sligo,band5,6766.189100483158,49027.7481066,3,0.13800733996127204
Sorne Hill,band5,18494.53972706377,134982.14926,5,0.13701470771101698
Tawnaghmore,band5,95.52385676092955,52816.255871999994,1,0.001808607126420155
Trillick,band5,11668.176805088222,85093.84878860001,3,0.13712127223291612
Ardnagappary,band6,4571.403099565919,62580.924698400006,3,0.0730478675666292
Binbane,band6,9958.656245304172,232467.07272,15,0.042838997062173576
Cathaleen's Fall,band6,23361.943807978878,159233.1576,2,0.1467153208546238
Corderry,band6,5300.175835373861,166738.26998430002,7,0.031787398513088344
Cunghill,band6,13833.878317726285,93919.32576,2,0.14729533251843357
Garvagh,band6,4214.295745220682,219480.50628,3,0.019201230289875207
Glenree,band6,860.0671672942834,211565.36305600003,4,0.004065255081790628
Lenalea,band6,8302.985181659633,85450.34757,1,0.09716736581858743
Meentycat,band6,34538.7675103525,235244.0346048,3,0.14682101320178498
Moy,band6,33.22863434261641,16647.58668,1,0.0019960030832899323
Mulreavy,band6,39336.02013013345,267677.476455,4,0.14695304457843072
Sligo,band6,7233.604444221016,49027.7481066,3,0.14754102979588504
Sorne Hill,band6,16965.79887579517,134982.14926,5,0.12568920385995616
