rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
band2,49977-1,4991,Sorne Hill,P,167.96507222301648,1693.7241839999997,0.09916908184326693,404
band2,49979-3,4991,Sorne Hill,P,83.98253611150824,846.8620919999998,0.09916908184326693,404
band2,53673-3,5361,Trillick,P,3980.7911659694555,39520.23096,0.100727932739021,389
band2,53674-4,5361,Trillick,P,2840.5788391453475,28200.5076636,0.10072793273902102,389
band2,67059-1,5241,Tawnaghmore,P,2895.659442323751,52882.883327999996,0.05475608098680544,227
band2,67059-2,5241,Tawnaghmore,P,1628.80843630711,29746.621872000003,0.054756080986805435,227
band2,68087-1,4981,Sligo,P,2061.498148235091,20487.4008165,0.10062272743621122,334
band2,68101-1,4981,Sligo,P,1616.8612927334043,16068.549659999999,0.10062272743621122,334
band2,68223-1,1341,Binbane,P,123.30411755592229,1368.805905,0.09008152076603022,377
band2,68254-1,4371,Glenree,N,767.086010178968,7613.9626955,0.10074727718751901,396
band2,68260-1,1571,Ardnagappary,N,4798.017280564769,48208.738472,0.0995258833282164,351
band2,68269-1,1341,Binbane,P,4932.164702236891,54752.2362,0.09008152076603021,377
band2,68269-2,1341,Binbane,N,887.7896464026405,9855.402516,0.09008152076603022,377
band2,68284-1,5361,Trillick,P,1961.9613603706607,19477.828116000004,0.100727932739021,389
band2,68308-1,4091,Mulreavy,P,1437.8313196627207,14267.117844,0.10077938202966459,367
band2,68312-1,4371,Glenree,N,3618.330236693245,35914.918374999994,0.10074727718751902,396
band2,69197-1,17010,Cathaleen's Fall,P,4839.556931451247,47951.9999,0.10092502797680492,338
band3,13471-1,1341,Binbane,P,98.30983197102782,1806.8237946000002,0.05441030401793659,243
band3,13473-4,1341,Binbane,P,1493.235104193264,27348.741981900002,0.05459977300533676,245
band3,13474-1,1341,Binbane,P,905.4749465884684,16425.67086,0.05512559908852748,246
band3,13475-6,1341,Binbane,P,1158.1205492366382,20942.7303465,0.05529940605047164,247
band3,13476-3,1341,Binbane,P,1825.0631235831554,32577.580539,0.056022058525748875,250
band3,13479-9,1341,Binbane,P,523.4456599207406,9307.880154,0.056236828500181454,250
band3,15771-1,1571,Ardnagappary,P,446.2399131054438,5314.771836,0.08396219572076542,294
band3,15772-1,1571,Ardnagappary,P,676.1210804627937,8052.6846,0.08396219572076544,294
band3,16373-3,1631,Corderry,P,226.29190943507783,18388.098960000003,0.012306433086276896,64
band3,16374-4,1631,Corderry,P,259.19137724446284,20686.611330000003,0.01252942655081357,65
band3,16377-1,1631,Corderry,P,306.1250783127484,24337.1898,0.012578489169392451,65
band3,16379-2,1631,Corderry,P,9.86403030118856,784.1983379999999,0.012578489169392451,65
band3,16382-1,1631,Corderry,P,352.96107118191327,27649.751745,0.012765433644290872,66
band3,16392-1,1631,Corderry,P,413.54265357059364,32395.503756000002,0.012765433644290869,66
band3,17075-7,1341,Binbane,P,353.94331567191176,5420.4713838,0.06529751577136475,288
band3,17077-8,1341,Binbane,P,3.5751850067869873,54.7522362,0.06529751577136474,288
band3,19371-1,1931,Cunghill,P,7035.386447553892,64007.963800000005,0.10991423613375265,391
band3,19372-2,1931,Cunghill,P,3272.473079989566,29780.547368,0.10988626365900603,388
band3,26732-1,2671,Garvagh,N,216.4984222177976,91940.4948,0.0023547667726691156,19
band3,26771-1,2671,Garvagh,P,165.55761699008053,70307.4372,0.0023547667726691156,19
band3,26773-1,2671,Garvagh,P,140.087214376222,59490.9084,0.0023547667726691156,19
band3,35971-1,3591,Lenalea,P,8554.616475626051,83960.75898500001,0.10188826993755946,370
