bus,psse_name,station,in_CG3,in_NW,ws_p_nom,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0,ratio_to_next,step_change
2131,DROMADA,,False,False,28.5,0.0003382714622923236,-0.007334860939906526,-0.007053810670984501,0.00177135041282378,,False
11310,TOBERTOREEN,,False,False,23.15,0.0003382714622916158,-0.007334860939908004,-0.007053810670985906,0.001771350412823551,,False
1131,ATHEA,,False,False,34.35,0.00033827146229157765,-0.007334860939908018,-0.007053810670985924,0.0017713504128235233,,False
52610,TRIEN,,False,False,46.3,0.00033827146228133237,-0.007334860939914641,-0.007053810670992283,0.001771350412817516,,False
1511,CLOGHBOOLA,,False,False,100.549,0.0003382714622768637,-0.007334860939916539,-0.007053810670994094,0.0017713504128148826,,False
3301,KNOCKEARAGH,,False,False,22.84,0.0002963119528347352,-0.005074456830444586,-0.004880018589758738,0.0013103614182540645,,False
1311,CORDAL,,False,False,147.6,0.0002694044342129165,-0.005595277636078914,-0.0053808830760188435,0.0013820930797709043,,False
28810,GLENLARA,,False,False,40.8,0.0002694044342067964,-0.005595277636084292,-0.005380883076024051,0.0013820930797670689,,False
3391,KNOCKACUMMER,,False,False,105.0,0.0002694044342054329,-0.005595277636084899,-0.005380883076024651,0.0013820930797661928,,False
2771,GARROW,,False,False,74.215,0.00024278711658776153,-0.004922923353029424,-0.004734291428908806,0.001231643926489865,,False
2731,GLANLEE,,False,False,29.8,0.00024278711658722724,-0.004922923353023224,-0.0047342914289028246,0.0012316439264873028,,False
1971,COOMAGEARLAH,,False,False,81.0,0.00024278711658708152,-0.004922923353023467,-0.004734291428903047,0.001231643926487256,,False
6201,COOMATAGGART,,False,False,156.84,0.00024278711658610314,-0.0049229233530318495,-0.004734291428911144,0.0012316439264891642,,False
2701,GLASMORE,,False,False,0.5,0.0002127762289505994,0.0006046085012876637,0.0005814416841834705,-0.0001078690385166517,,False
1551,BOGGERAGH,,False,False,166.05,0.00020353559806727747,-0.003758928080204685,-0.003614897026793424,0.000978312057455846,,False
3881,MACROOM,,False,False,28.0,0.00019879944313486164,-0.0036436667672746295,-0.0035040521879125645,0.000952513447319888,,False
2221,DUNMANWAY,,False,False,27.17,0.00019102612851877587,-0.003480351983652215,-0.0033469951458114586,0.0009147447896258945,,False
3891,CARRIGDANGAN,,False,False,67.89999999999999,0.00019102612851859546,-0.0034803519836528567,-0.0033469951458121004,0.0009147447896258043,,False
1281,BALLYLICKEY,,False,False,65.71000000000001,0.00019102612851173983,-0.003480351983657058,-0.0033469951458161354,0.0009147447896224944,,False
2225,DUNMANWAY,,False,False,22.95,0.0001910175029074604,-0.003480170762396338,-0.0033468208684203984,0.0009147028798646602,,False
1441,BANDON,,False,False,13.6,0.0001744344088698141,-0.0031207132097014235,-0.003001136670486855,0.000832176298645404,,False
3221,KILBARRY,,False,False,5.8,0.00016079380456408138,-0.002702886032991427,-0.002599319400622996,0.0007426923120453302,,False
5271,CAUTEEN,,False,False,59.08,0.00015562804403425334,-0.0007787087948839568,-0.0007488709672814099,0.0004195687519489965,,False
5274,CAUTEEN,,False,False,115.08,0.000155283066077868,-0.0007769351359076127,-0.000747165269693352,0.0004189516661506111,,False
