case,rule,metric,recomputed,in_summary,verdict
WP2033s43,rule1,Jain_station,0.988456681881,0.988456681881,OK
WP2033s43,rule1N,D_pct,10.8294398559,10.8294398559,OK
WP2033s43,rule1N,D_ratio,1.02628046671,1.02628046671,OK
WP2033s43,rule1N,PoF_eff,0.145976190648,0.145976190648,OK
WP2033s43,rule1N,PoF_nodal,0.150974304853,0.150974304853,OK
WP2033s43,rule1N,Jain_farm,0.490602955863,0.490602955863,OK
WP2033s43,rule1N,Gini,0.424341089254,0.424341089254,OK
WP2033s43,rule1N,worst_over_mean,3.31081851562,3.31081851562,OK
WP2033s43,rule1N,max_over_min,7.94512158558,7.94512158558,OK
WP2033s43,rule1N,r_max,0.358543099888,0.358543099888,OK
WP2033s43,rule1N,r_min,0.0451274528686,0.0451274528686,OK
WP2033s43,rule1N,Jain_station,0.699348849246,0.699348849246,OK
WP2033s43,rule2,D_pct,9.44996933121,9.44996933121,OK
WP2033s43,rule2,D_ratio,0.895551299479,0.895551299479,OK
WP2033s43,rule2,PoF_eff,0,0,OK
WP2033s43,rule2,PoF_nodal,0.0043614468136,0.0043614468136,OK
WP2033s43,rule2,Jain_farm,0.322985923415,0.322985923415,OK
WP2033s43,rule2,Gini,0.65409271698,0.65409271698,OK
WP2033s43,rule2,worst_over_mean,4.30250074718,4.30250074718,OK
WP2033s43,rule2,max_over_min,1605.21493162,1605.21493162,OK
WP2033s43,rule2,r_max,0.406585001083,0.406585001083,OK
WP2033s43,rule2,r_min,0.000253290069183,0.000253290069183,OK
WP2033s43,rule2,Jain_station,0.390042055464,0.390042055464,OK
WP2033s43,rule3,D_pct,9.40893277136,9.40893277136,OK
WP2033s43,rule3,D_ratio,0.891662361514,0.891662361514,OK
WP2033s43,rule3,PoF_eff,-0.00434250719942,-0.00434250719942,OK
WP2033s43,rule3,PoF_nodal,0,0,OK
WP2033s43,rule3,Jain_farm,0.3199664933,0.3199664933,OK
WP2033s43,rule3,Gini,0.672849948651,0.672849948651,OK
WP2033s43,rule3,worst_over_mean,4.45550302835,4.45550302835,OK
WP2033s43,rule3,max_over_min,inf,inf,OK
WP2033s43,rule3,r_max,0.419215284564,0.419215284564,OK
WP2033s43,rule3,r_min,0,0,OK
WP2033s43,rule3,Jain_station,0.393703784261,0.393703784261,OK
