Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
C,J Country,mullingar,2030,Initial,Grandfathering,IE Solar not priority,12,15.375444,12.1741828873709,1.21567354397,0.198839988729998,1.78674757992901,3.201261112629
C,C,dallow,2030,33% ECP,Grandfathering,IE wind priority,9.99,32.06149611892,31.09074756964,0,0.970748549279996,0,0.970748549279995
C,J Country,shanonagh,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,133.3332,170.8380958284,80.0303836699969,37.5342301133499,1.45959421713999,51.813887827913,90.807712158403
J,"J City, G South",griffinrath,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,33.8999816,43.4356057244399,32.6031682642987,9.7912840142099,0.909632283360004,0.131521162571228,10.8324374601411
C,J Country,mullingar,2030,Initial,Grandfathering,IE wind not priority,9.5,30.48891022304,22.2147696805346,3.4549338159,0.538876526389998,4.28033020021536,8.27414054250535
C,C,dallow,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,44.72662194,143.5437853587,120.514755248025,22.25310647392,0.439553454549994,0.336370182204789,23.0290301106747
J,J Country,bracklone,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind not priority,40.7999592,125.82633310341,83.3562205623006,32.1087033218499,2.3890162352701,7.97239298398926,42.4701125411093
J,J Country,blundelstown,2035,100% ECP,Grandfathering,IE Solar not priority,60,76.8772199999999,28.1913965310135,16.9036662469298,0.69669687396,31.0854603480964,48.6858234689863
C,C,dallow,2030,33% ECP,Grandfathering,IE wind not priority,22.36331097,71.77189267929,51.9153160622725,11.22114563461,1.23588266755,7.39954831485745,19.8565766170174
J,"J City, G South",belcamp 220kv,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Pro-rata,IE wind not priority,250,1047.37975,659.670620074097,306.67333256263,18.9530925087199,62.0827048545527,387.709129925902
H2,H2 & K,carlow,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Pro-rata,IE Solar not priority,31.09663557,36.40825189167,26.0616803498304,8.28721718684999,0.77393817635,1.28541617863954,10.3465715418395
J,J Country,athy,2030,33% ECP,Pro-rata,IE Solar not priority,4.99,6.39362213,4.23848168118955,0.868807158870009,0.118403744269989,1.16792954567044,2.15514044881044
I,"E,F & I",trabeg,2035,100% ECP,Pro-rata,IE Solar not priority,4.95,5.7955095,3.93306799376222,1.30512749922999,0.0523047772600007,0.505009229747776,1.86244150623777
J,J Country,portlaoise,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE wind not priority,45.001,138.78226662511,78.8714432424104,41.5924608673501,2.55190660780989,15.7664559075395,59.9108233826995
J,J Country,portlaoise,2030,Initial,Pro-rata,IE wind not priority,45.001,138.78226662511,100.730123252302,19.10846944764,2.69856284214999,16.2451110830172,38.0521433728072
J,J Country,thornsberry,2035,66% ECP + 4.7 GW Offshore,Pro-rata,IE Solar not priority,164.466508,210.72879863583,98.7174817383525,46.29847447754,1.80040953029001,63.9124328896474,112.011316897477
H2,H2 & K,ballywater,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE wind priority,42,118.80646544065,113.729983401976,0,4.57406191815999,0.502420120513406,5.0764820386734
H2,H2 & K,carlow,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Pro-rata,IE wind priority,30.49,86.24783645923,78.334069532503,0,3.58621658446999,4.32755034225694,7.91376692672693
H2,H2 & K,carlow,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE wind not priority,6.999993,19.80105777225,12.6490108877276,5.9936458418,0.377603374059999,0.78079766866233,7.15204688452233
H2,H2 & K,carlow,2035,100% ECP,Pro-rata,IE wind not priority,21,59.40323272045,45.3054274181238,10.68818765233,0.212697698429998,3.19691995156618,14.0978053023261
J,"J City, G South",stephenstown,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Pro-rata,IE Solar not priority,3.32999667,4.26668144332,3.20261063946868,0.96179825544,0.0893532188799999,0.0129193295313201,1.06407080385132
