name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Bullstown Solar Farm,J,Finglas,solar,DSO,connected,Non GPA,8.42,Y,solar not priority,N/A
Carrick Solar,H1,Ballydine,solar,DSO,due to connected,Non GPA,5.8,Y,solar not priority,N/A
Carrickabane Solar Farm,G,Shankill,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Castlekelly Solar PV Farm,H2,Kilkenny,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Coolyduff,I,Kilbarry,solar,DSO,connected,Non GPA,4.95,Y,solar not priority,N/A
Courtown Solar Farm (previously Coolnastudd),H2,Banoge,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Creevy Solar,C,Lanesboro,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Crossfield,E,Mallow,solar,DSO,connected,Non GPA,4.95,Y,solar not priority,N/A
Curraghmartin Solar Park,H2,Waterford,solar,DSO,connected,Non GPA,3.99,Y,solar not priority,N/A
DePuy,I,Barnahely,wind,DSO,connected,Non GPA,2.5,N,wind uncontrolled,N/A
DePuy Synthes Turbine2,I,Barnahely,wind,DSO,connected,Non GPA,0.99,N,wind uncontrolled,N/A
Dromalour,E,Glenlara,solar,DSO,connected,Non GPA,4.95,Y,solar not priority,N/A
Drombeg Solar Park,E,Drombeg,solar,TSO,connected,Non GPA,50,Y,solar not priority,N/A
Drumgarriff South,I,Kilbarry,solar,DSO,connected,Non GPA,4.95,Y,solar not priority,N/A
Dunmurry Springs PV,J,Newbridge,solar,DSO,connected,Non GPA,12,Y,solar not priority,N/A
Farranlahassery Solar,H1,Cahir,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Featherbed Lane Solar,J,Glasmore,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Gallanstown Solar,J,Gallanstown,solar,TSO,connected,Non GPA,119,Y,solar not priority,N/A
Grady Joinery,B,Tonroe,wind,DSO,connected,Non GPA,2.5,N,wind uncontrolled,N/A
Grangegeeth Solar,G,Drybridge,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Harristown Solar PV,J,Harristown,solar,TSO,due to connected,Non GPA,42.3,Y,solar not priority,N/A
Hilltown PV,G,Baltrasna,solar,DSO,connected,Non GPA,9.99,Y,solar not priority,N/A
Hortland PV (from merge Knockanally and Hortland),J,Dunfirth,solar,DSO,connected,Non GPA,14,Y,solar not priority,N/A
Kelwin Power Plant,E,Kilpaddoge,wind,TSO,connected,Non GPA,37,Y,wind priority,N/A
Kelwin Power Plant (battery),E,Kilpaddoge,battery,TSO,connected,Non GPA,2.6,N,battery,5.2
Kerdiffstown PV,J,Monread,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Kilkeelan Solar Farm,G,Navan,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Knockglass Solar Farm,F,Macroom,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Laghtane Solar Farm,H1,Ahane,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Leacht Cross Solar,I,Barnahely,solar,DSO,due to connected,Non GPA,4.95,Y,solar not priority,N/A
Lehinch Solar Farm,J,Thornsberry,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Liffey Autoproduction Project,G,Shankill,wind,DSO,connected,Non GPA,1.6,N,wind uncontrolled,N/A
Liffey Autoproduction Project (extension),G,Shankill,wind,DSO,connected,Non GPA,1.417,N,wind uncontrolled,N/A
Lisbrien Solar Farm,H1,Nenagh,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Lisduff Solar Park (Claremorris),B,Dalton,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Lisnageeragh Solar Farm,C,Richmond,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Liss Solar Farm (prev Lands at Liss),C,Mullingar,solar,DSO,connected,Non GPA,4,Y,solar not priority,N/A
Loughteague,J,Coolnabacky,solar,TSO,due to connected,Non GPA,55,Y,solar not priority,N/A
Maine Solar,E,Oughtragh,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Marlinstown Solar Farm (prev Russellstown),C,Mullingar,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Millvale PV,H2,Ballybeg,solar,DSO,connected,Non GPA,8,Y,solar not priority,N/A
Monatooreen Solar,I,Knockraha,solar,TSO,due to connected,Non GPA,25.7,Y,solar not priority,N/A
Muinagh Solar Farm,J,Thornsberry,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Painestown Hill Solar Farm,G,Baltrasna,solar,DSO,connected,Non GPA,7.14,Y,solar not priority,N/A
Rathleg Solar Farm,C,Carrick on Shannon,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Rosspile Solar Farm,H2,Rosspile,solar,TSO,connected,Non GPA,95,Y,solar not priority,N/A
Shanagraigue,I,Trabeg,solar,DSO,connected,Non GPA,4.95,Y,solar not priority,N/A
Shanderry Solar Farm,J,Portlaoise,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Shannagh Beg Solar Farm,C,Athlone,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Shantallow Solar,B,Shantallow,solar,TSO,due to connected,Non GPA,35,Y,solar not priority,N/A
Taghadoe Solar Farm,J,Griffinrath,solar,DSO,due to connected,Non GPA,25,Y,solar not priority,N/A
Threecastles Solar Farm,J,Kilteel,solar,DSO,due to connected,Non GPA,15,Y,solar not priority,N/A
Timahoe North solar,J,Timahoe,solar,TSO,connected,Non GPA,70,Y,solar not priority,N/A
Tullabeg Solar Park,H2,Tullabeg,solar,TSO,connected,Non GPA,50,Y,solar not priority,N/A
Wind Energy Project (Janssen),I,Barnahely,wind,DSO,connected,Non GPA,2,N,wind uncontrolled,N/A
