name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Athea (1)a,E,Athea,wind,TSO,connected,Gate 1,34.35,Y,wind priority,N/A
Ballycadden (1),H2,Crory,wind,DSO,connected,Gate 1,14.45,Y,wind priority,N/A
Beenanaspock and Tobertooreen Wind Farm,E,Athea,wind,TSO,connected,Gate 1,23.15,Y,wind not priority,N/A
Clahane (1),E,Clahane,wind,TSO,connected,Gate 1,37.8,Y,wind priority,N/A
Coomacheo (1),E,Garrow,wind,TSO,connected,Gate 1,41.225,Y,wind priority,N/A
Corkermore (1),A,Binbane,wind,DSO,connected,Gate 1,9.99,Y,wind priority,N/A
Cronelea (1),H2,Carlow,wind,DSO,connected,Gate 1,4.99,Y,wind priority,N/A
Dunmore (1),G,Drybridge,wind,DSO,connected,Gate 1,1.7,N,wind uncontrolled,N/A
Glanlee (1),E,Glanlee,wind,TSO,connected,Gate 1,29.8,Y,wind priority,N/A
Killin Hill (1),A,Binbane,wind,DSO,connected,Gate 1,6,Y,wind priority,N/A
Killybegs (1),A,Binbane,wind,DSO,connected,Gate 1,2.55,N,wind uncontrolled,N/A
Knockawarriga (1),E,Trien,wind,DSO,connected,Gate 1,22.5,Y,wind priority,N/A
Knocknalour (1),H2,Crory,wind,DSO,connected,Gate 1,5,Y,wind priority,N/A
Lackan (1),B,Moy,wind,DSO,connected,Gate 1,6,Y,wind priority,N/A
Loughderryduff (1),A,Binbane,wind,DSO,connected,Gate 1,7.65,Y,wind priority,N/A
Lurganboy (1),A,Letterkenny,wind,DSO,connected,Gate 1,4.99,N,wind uncontrolled,N/A
Meenachullalan (1),A,Binbane,wind,DSO,connected,Gate 1,11.9,Y,wind priority,N/A
Meentycat (2),A,Meentycat,wind,TSO,connected,Gate 1,14,Y,wind priority,N/A
Moneypoint WF,E,Moneypoint,wind,TSO,connected,Gate 1,17.25,Y,wind priority,N/A
Mount Eagle (2),E,Tralee,wind,DSO,connected,Gate 1,1.7,N,wind uncontrolled,N/A
Muingnaminnane (1),E,Reamore,wind,DSO,connected,Gate 1,15.3,Y,wind priority,N/A
Mullananalt (1),G,Meath Hill,wind,DSO,connected,Gate 1,7.5,Y,wind priority,N/A
Richfield (2),H2,Wexford,wind,DSO,connected,Gate 1,6.75,Y,wind priority,N/A
Tournafulla (2),E,Trien,wind,DSO,connected,Gate 1,17.2,Y,wind priority,N/A
Ballaman formerly (Kennystown) (1),H2,Crory,wind,DSO,connected,Gate 2,3.6,N,wind uncontrolled,N/A
Ballybane 2 (Glanta Commons) Wind Farm,F,Ballylickey,wind,DSO,connected,Gate 2,8.4,Y,wind priority,N/A
Ballyduff (1),H2,Crory,wind,DSO,connected,Gate 2,4,N,wind uncontrolled,N/A
Ballymartin (1),H2,Waterford,wind,DSO,connected,Gate 2,6,Y,wind priority,N/A
Ballynancoran (1),H2,Crory,wind,DSO,connected,Gate 2,4,N,wind uncontrolled,N/A
Ballywater (2),H2,Ballywater,wind,TSO,connected,Gate 2,10.5,Y,wind priority,N/A
Bawnmore (1) formerly Burren (Cork),F,Macroom,wind,DSO,connected,Gate 2,24,Y,wind priority,N/A
Beale Hill (3),E,Trien,wind,DSO,connected,Gate 2,1.3,N,wind uncontrolled,N/A
Beenanaspock and Tobertooreen Wind Farm (battery),E,Athea,battery,TSO,connected,Gate 2,11,N,battery,5.5
Boggeragh (1),E,Boggeragh,wind,TSO,connected,Gate 2,57,Y,wind priority,N/A
Boolinrudda (formerly Loughaun North),D,Slievecallan,wind,TSO,connected,Gate 2,45,Y,wind priority,N/A
Booltiagh (2),D,Booltiagh,wind,TSO,connected,Gate 2,12,Y,wind priority,N/A
Bunnyconnellan (1),B,Glenree,wind,DSO,connected,Gate 2,28,Y,wind not priority,N/A
Caherdowney (1),E,Garrow,wind,DSO,connected,Gate 2,10,Y,wind priority,N/A
Cappawhite A Wind Farm (Gate 2),H1,Cauteen,wind,DSO,connected,Gate 2,2.92,Y,wind priority,N/A
Cappawhite B,H1,Cauteen,wind,DSO,connected,Gate 2,13.18,Y,wind priority,N/A
Carrons (1),E,Rathkeale,wind,DSO,connected,Gate 2,4.99,N,wind uncontrolled,N/A
Carrowleagh (1),B,Glenree,wind,DSO,connected,Gate 2,34.15,Y,wind priority,N/A
Castledockrell (1),H2,Castledockrell,wind,TSO,connected,Gate 2,20,Y,wind priority,N/A
Castledockrell (2),H2,Castledockrell,wind,TSO,connected,Gate 2,2,Y,wind priority,N/A
Castledockrell (3),H2,Castledockrell,wind,TSO,connected,Gate 2,3.3,Y,wind priority,N/A
Castledockrell (4),H2,Castledockrell,wind,TSO,connected,Gate 2,16.1,Y,wind priority,N/A
Cloghanaleskirt (1),E,Cloghboola,wind,DSO,connected,Gate 2,12.55,Y,wind priority,N/A
Cloonlusk (1),B,Cloon,wind,DSO,connected,Gate 2,4.25,N,wind uncontrolled,N/A
Clydaghroe (1),E,Garrow,wind,DSO,connected,Gate 2,4.99,N,wind uncontrolled,N/A
Coollegrean (1),E,Cordal,wind,DSO,connected,Gate 2,18.5,Y,wind priority,N/A
Coomacheo (2),E,Garrow,wind,TSO,connected,Gate 2,18,Y,wind priority,N/A
Coomagearlahy (2),E,Coomagearlahy,wind,TSO,connected,Gate 2,8.5,Y,wind priority,N/A
Coomagearlahy (3),E,Coomagearlahy,wind,TSO,connected,Gate 2,30,Y,wind priority,N/A
Crocane (1),I,Midleton,wind,DSO,connected,Gate 2,1.7,N,wind uncontrolled,N/A
Cronelea (2),H2,Carlow,wind,DSO,connected,Gate 2,4.5,Y,wind priority,N/A
Cronelea Upper (2),H2,Carlow,wind,DSO,connected,Gate 2,1.7,N,wind uncontrolled,N/A
Cuillalea (2),B,Castlebar,wind,DSO,connected,Gate 2,1.59,N,wind uncontrolled,N/A
Curraghgraigue (2),H1,Nenagh,wind,DSO,connected,Gate 2,2.44,N,wind uncontrolled,N/A
Derrynadivva Wind Farm (prev. Raheen Bar 2),B,Castlebar,wind,DSO,connected,Gate 2,8.5,Y,wind priority,N/A
Dromada (1),E,Dromada,wind,TSO,connected,Gate 2,28.5,Y,wind priority,N/A
Dromdeeveen (2),E,Glenlara 220kV side,wind,DSO,connected,Gate 2,16.5,Y,wind priority,N/A
Dunmore (2),G,Drybridge,wind,DSO,connected,Gate 2,1.8,N,wind uncontrolled,N/A
Esk (1),E,Boggeragh,wind,DSO,connected,Gate 2,5.95,Y,wind not priority,N/A
Flughland (1),A,Sorne Hill,wind,DSO,connected,Gate 2,9.2,Y,wind priority,N/A
Garracummer (1),H1,Cauteen,wind,DSO,connected,Gate 2,36.9,Y,wind priority,N/A
Garranereagh (1),F,Bandon,wind,DSO,connected,Gate 2,8.75,Y,wind priority,N/A
Garvagh - Glebe (1a),A,Garvagh,wind,TSO,connected,Gate 2,26,Y,wind priority,N/A
Garvagh - Tullynahaw (1c),A,Garvagh,wind,TSO,connected,Gate 2,22,Y,wind priority,N/A
Gibbet Hill (1),H2,Crory,wind,DSO,connected,Gate 2,14.8,Y,wind priority,N/A
Glackmore Hill (2),A,Sorne Hill,wind,DSO,connected,Gate 2,1.4,N,wind uncontrolled,N/A
Glanaruddery 1 (formerly Dromadda More Wind Farm),E,Cloghboola,wind,DSO,connected,Gate 2,20,Y,wind priority,N/A
Glenough (1),H1,Cauteen,wind,DSO,connected,Gate 2,33,Y,wind priority,N/A
Gortahile (1),H2,Carlow,wind,DSO,connected,Gate 2,21,Y,wind priority,N/A
Grouse Lodge (1),E,Rathkeale,wind,DSO,connected,Gate 2,15,Y,wind priority,N/A
Holyford (1),H1,Cauteen,wind,DSO,connected,Gate 2,9,Y,wind priority,N/A
Kilbranish (1),H2,Crane,wind,DSO,connected,Gate 2,2.5,Y,wind priority,N/A
Killaveenoge Windfarm (Derryvacorneen merge with Barrboy Windfarm),F,Dunmanway,wind,DSO,connected,Gate 2,17,Y,wind priority,N/A
Kingsmountain (2),B,Cunghill,wind,TSO,connected,Gate 2,11.05,Y,wind priority,N/A
Knockacummer (1),E,Knockacummer,wind,TSO,connected,Gate 2,105,Y,wind priority,N/A
Knockalassa (formerly Keelderry),D,Slievecallan,wind,TSO,connected,Gate 2,26.875,Y,wind priority,N/A
Knockaneden (1),E,Oughtragh,wind,DSO,connected,Gate 2,9,Y,wind priority,N/A
Knockawarriga Extension (Glenduff & Caherlevoy),E,Trien,wind,DSO,connected,Gate 2,6.6,Y,wind not priority,N/A
Knocknagashel Wind (Cloghboola (1)),E,Cloghboola,wind,TSO,connected,Gate 2,46,Y,wind priority,N/A
Knocknagoum (1),E,Reamore,wind,DSO,connected,Gate 2,42.55,Y,wind priority,N/A
Leabeg (1),C,Dallow,wind,DSO,connected,Gate 2,4.25,N,wind uncontrolled,N/A
Lenanavea (Burren) Wind Farm,B,Castlebar,wind,DSO,connected,Gate 2,4.65,N,wind uncontrolled,N/A
Lisheen (1),H1,Lisheen,wind,TSO,connected,Gate 2,36,Y,wind priority,N/A
Lisheen (1a),H1,Lisheen,wind,TSO,connected,Gate 2,23,Y,wind priority,N/A
Mace Upper (1),B,Dalton,wind,DSO,connected,Gate 2,2.55,N,wind uncontrolled,N/A
Martinstown Solar formerly Crowinstown Great wind,G,Navan,solar,DSO,due to connected,Gate 2,4.999,Y,solar not priority,N/A
Mauricetown (Glenduff) Wind Farm,E,Glenlara 220kV side,wind,DSO,connected,Gate 2,13.8,Y,wind not priority,N/A
Meenanilta (3),A,Letterkenny,wind,DSO,connected,Gate 2,3.4,N,wind uncontrolled,N/A
Meenkeeragh (1),A,Sorne Hill,wind,DSO,connected,Gate 2,4.2,N,wind uncontrolled,N/A
Mountain Lodge (3),G,Ratrussan,wind,TSO,connected,Gate 2,5.82,Y,wind priority,N/A
Mulreavy (Mulreavy (1)),A,Mulreavy,wind,TSO,connected,Gate 2,82,Y,wind priority,N/A
Mulreavy Ext (Croaghnameal (1)),A,Mulreavy,wind,TSO,connected,Gate 2,4.25,Y,wind priority,N/A
Mulreavy Ext (Meenadreen South (1)),A,Mulreavy,wind,TSO,connected,Gate 2,3.6,Y,wind priority,N/A
Pluckanes (1),I,Kilbarry,wind,DSO,connected,Gate 2,0.85,N,wind uncontrolled,N/A
Raheen Barr extension (was Derrynadivva extension),B,Castlebar,wind,DSO,connected,Gate 2,6.8,Y,wind not priority,N/A
Rahora (1),H2,Waterford,wind,DSO,connected,Gate 2,4.25,N,wind uncontrolled,N/A
Reenascreena (1),F,Dunmanway,wind,DSO,connected,Gate 2,4.5,N,wind uncontrolled,N/A
Roosky (1),B,Tonroe,wind,DSO,connected,Gate 2,3.6,N,wind uncontrolled,N/A
Scartaglen (1),E,Cordal,wind,DSO,connected,Gate 2,35.45,Y,wind priority,N/A
Seltanaveeny (1),A,Arigna,wind,DSO,connected,Gate 2,4.6,N,wind uncontrolled,N/A
Shannagh (1) previously Kilcar,A,Binbane,wind,DSO,connected,Gate 2,2.55,N,wind uncontrolled,N/A
Skrine (1),C,Lanesboro,wind,DSO,connected,Gate 2,4.6,N,wind uncontrolled,N/A
Slievereagh (1),H1,Tipperary,wind,DSO,connected,Gate 2,3,N,wind uncontrolled,N/A
Sorne Hill (2),A,Sorne Hill,wind,DSO,connected,Gate 2,7.4,Y,wind priority,N/A
Sorne Hill Single Turbine (Enros),A,Sorne Hill,wind,DSO,connected,Gate 2,2.3,N,wind uncontrolled,N/A
Templederry (1),H1,Nenagh,wind,DSO,connected,Gate 2,3.9,N,wind uncontrolled,N/A
Three Trees (1),A,Sorne Hill,wind,DSO,connected,Gate 2,4.25,N,wind uncontrolled,N/A
Tullynamoyle (1),A,Corderry,wind,DSO,connected,Gate 2,9,Y,wind priority,N/A
Tullynamoyle 3 (Carrane Hill merged capacity),A,Corderry,wind,DSO,connected,Gate 2,1.598,N,wind uncontrolled,N/A
WEDcross (1),E,Knockearagh,wind,DSO,connected,Gate 2,4.5,N,wind uncontrolled,N/A
An Cnoc,H1,Thurles,wind,DSO,connected,Gate 3,11.5,Y,wind priority,N/A
Ardderoo 2 (Formerly Buffy),B,Knockranny,wind,TSO,connected,Gate 3,64.2,Y,wind not priority,N/A
Ardderoo Wind Farm,B,Knockranny,wind,TSO,connected,Gate 3,27,Y,wind not priority,N/A
Ballagh (1),E,Trien,wind,DSO,connected,Gate 3,4.6,N,wind uncontrolled,N/A
Ballinacurry WF,H1,Thurles,wind,DSO,connected,Gate 3,4.6,N,wind uncontrolled,N/A
Ballybane 2A,F,Ballylickey,wind,DSO,connected,Gate 3,17.5,Y,wind priority,N/A
Ballybane 2A (Glanta Commons) Wind Farm Extension,F,Ballylickey,wind,DSO,connected,Gate 3,1.55,Y,wind priority,N/A
Ballybane 3 (Glanta Commons) Wind Farm,F,Ballylickey,wind,DSO,connected,Gate 3,4.45,Y,wind priority,N/A
Ballybay Wind Farm (Tullaroan),H1,Thurles,wind,DSO,connected,Gate 3,13.8,Y,wind priority,N/A
Ballycadden (2),H2,Crory,wind,DSO,connected,Gate 3,9.762,Y,wind priority,N/A
Ballycumber (1),H2,Arklow,wind,DSO,connected,Gate 3,18,Y,wind priority,N/A
Ballycurreen (1),K,Dungarvan,wind,DSO,connected,Gate 3,4.99,N,wind uncontrolled,N/A
Ballymartin (2),H2,Waterford,wind,DSO,connected,Gate 3,8.28,Y,wind priority,N/A
Barranafaddock (1),H1,Barrymore,wind,DSO,connected,Gate 3,32.4,Y,wind priority,N/A
Boggeragh 2,E,Boggeragh,wind,TSO,connected,Gate 3,65.7,Y,wind priority,N/A
Boolard Wind Farm (Charlevile),E,Charleville,wind,DSO,connected,Gate 3,4.45,N,wind uncontrolled,N/A
Boolynagleragh (1),D,Booltiagh,wind,DSO,connected,Gate 3,36.98,Y,wind not priority,N/A
Bruckana (1),H1,Lisheen,wind,DSO,connected,Gate 3,39.6,Y,wind priority,N/A
Bunnahowen (1),B,Bellacorick,wind,DSO,connected,Gate 3,2.55,N,wind uncontrolled,N/A
Cahermurphy (1),D,Booltiagh,wind,DSO,connected,Gate 3,6,Y,wind not priority,N/A
Cappawhite A,H1,Cauteen,wind,DSO,connected,Gate 3,49.08,Y,wind priority,N/A
Carrickeeney (1),B,Sligo,wind,DSO,connected,Gate 3,7.65,Y,wind priority,N/A
Carrigdangan (formerly Barnadivine),F,Dunmanway,wind,TSO,connected,Gate 3,60,Y,wind not priority,N/A
Carrowleagh (2),B,Glenree,wind,DSO,connected,Gate 3,2.65,Y,wind not priority,N/A
Carrownawelaun (1),D,Tullabrack,wind,DSO,connected,Gate 3,4.6,N,wind uncontrolled,N/A
Castlepook (1),E,Charleville,wind,DSO,connected,Gate 3,33.1,Y,wind priority,N/A
Clahane (2),E,Clahane,wind,TSO,connected,Gate 3,13.8,Y,wind priority,N/A
Cleanrath (1),E,Coomataggart,wind,DSO,connected,Gate 3,42.64,Y,wind not priority,N/A
Clogheravaddy Wind Farm (Phase 1),A,Binbane,wind,DSO,connected,Gate 3,9.2,Y,wind not priority,N/A
Clogheravaddy Wind Farm (Phase 2),A,Binbane,wind,DSO,connected,Gate 3,10.8,Y,wind not priority,N/A
Collon Wind Power,G,Drybridge,wind,DSO,connected,Gate 3,2.3,N,wind uncontrolled,N/A
Coolberrin Wind Farm (formerly Bragan Wind Farm),G,Lisdrum,wind,DSO,due to connected,Gate 3,33.1,Y,wind not priority,N/A
Cooly (1),A,Trillick,wind,DSO,connected,Gate 3,4,N,wind uncontrolled,N/A
Cordal (1+2),E,Cordal,wind,TSO,connected,Gate 3,54,Y,wind priority,N/A
Corvin Wind Turbine,A,Sorne Hill,wind,DSO,connected,Gate 3,2.1,N,wind uncontrolled,N/A
Corvoderry (was Gortnahurra (1)),B,Bellacorick,wind,DSO,due to connected,Gate 3,33.9,Y,wind not priority,N/A
Cronalaght (2),A,Ardnagappary,wind,DSO,connected,Gate 3,17.96,Y,wind not priority,N/A
Cureeny (1),H1,Killonan,wind,DSO,due to connected,Gate 3,84,Y,wind not priority,N/A
Curraghderrig (1),E,Trien,wind,DSO,connected,Gate 3,4.5,N,wind uncontrolled,N/A
Derreenacrinnig West (prev Kilvinane 2 WF),F,Ballylickey,wind,DSO,due to connected,Gate 3,5.82,Y,wind not priority,N/A
Derrysallagh Wind Farm (Formerly Kilronan 2),A,Garvagh,wind,DSO,connected,Gate 3,34,Y,wind not priority,N/A
Dooray WF,J,Portlaoise,wind,DSO,due to connected,Gate 3,45.001,Y,wind not priority,N/A
Esk Wind Farm (sub metered Gneeves 2 Merge),E,Boggeragh,wind,DSO,connected,Gate 3,5.4,Y,wind not priority,N/A
Faughary (1),B,Sligo,wind,DSO,connected,Gate 3,6,Y,wind priority,N/A
Foyle Windfarm,H1,Thurles,wind,DSO,connected,Gate 3,9.6,Y,wind priority,N/A
Garracummer (2),H1,Cauteen,wind,DSO,connected,Gate 3,1,Y,wind priority,N/A
Glanaruddery 2 (formerly Dromadda More 2),E,Cloghboola,wind,DSO,connected,Gate 3,12,Y,wind priority,N/A
Glantaunyalkeen Windfarm( Cloghboola (2) Ext),E,Cloghboola,wind,DSO,connected,Gate 3,9.999,Y,wind priority,N/A
Glencarbry (1),H1,Cauteen,wind,DSO,connected,Gate 3,33,Y,wind priority,N/A
Gortnacloghy Wind Farm,E,Trien,wind,DSO,connected,Gate 3,4.4,N,wind uncontrolled,N/A
Grousemount WF,E,Coomataggart,wind,TSO,connected,Gate 3,114.2,Y,wind not priority,N/A
Grove Hill (1) formerly Tullynageer,G,Dundalk,wind,DSO,connected,Gate 3,16.1,Y,wind priority,N/A
Gurteen (1),H1,Thurles,wind,DSO,connected,Gate 3,2.3,N,wind uncontrolled,N/A
Kelwin Power Plant - Phase 2,E,Kilpaddoge,battery,TSO,connected,Gate 3,26.6,N,battery,13.3
